Number,VcsUrl,JobName,Repo,Link,Inspection_1,Subtype_1,Purpose,IS_CONFLICT?Purpose,2 Label,2 Remarks,3 remarks,Final Label,Final Label notes,Programming Purposes,Mechanism_1,Mechanism_2,IS_CONFLICT?Mechanism,,Programming Mechanisms,Impact (HALT/SKIP/MINIMIZE),magnitude,IS_CONFLICT_Magnitude,Final_magnitude,Programming Magnitude,Remark_1,Purpose_sub,Remark_2,VcsUrl,JobName,Repo,Link,Related statements,From original only,WeightedMiddle,AverageRatio,HighestRatio,LowestRatio,ValidBuildCount,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
265,https://github.com/activeadmin/activeadmin,ruby25rails60,activeadmin/activeadmin,ruby25rails60,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,cache,,,,,,,0.24313925,0.370074371,0.833956734,0.147118461,1746,3742544576666829033,1856,205,FALSE
244,https://github.com/activeadmin/activeadmin,ruby26rails60,activeadmin/activeadmin,ruby26rails60,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,cache,,,,,,,0.205526475,0.368504178,0.808953286,0.119371575,1745,7887989084874939398,1854,205,FALSE
239,https://github.com/activeadmin/activeadmin,ruby26rails60turbolinks,activeadmin/activeadmin,ruby26rails60turbolinks,no,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.197969288,0.286061989,0.721017204,0.1411531,1451,17540523488159854825,1543,206,FALSE
236,https://github.com/activeadmin/activeadmin,testapp52,activeadmin/activeadmin,testapp52,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.189703485,0.340939342,0.750923236,0.105347606,2363,15183363920550830137,2513,214,FALSE
260,https://github.com/activeadmin/activeadmin,testapp60,activeadmin/activeadmin,testapp60,no,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.238836917,0.325622096,0.722940835,0.15847842,1916,17930440378737495714,2037,214,FALSE
233,https://github.com/activeadmin/activeadmin,testapp60turbolinks,activeadmin/activeadmin,testapp60turbolinks,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.185942893,0.198902612,0.317199229,0.116738685,1572,6630414211237053376,1671,214,FALSE
62,https://github.com/aeternity/aeternity,docker_smoke_tests,aeternity/aeternity,docker_smoke_tests,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,docker build often makes divisions,remote docker cache?,why Build branch docker image takes different time in builds>,https://github.com/aeternity/aeternity,docker_smoke_tests,aeternity/aeternity,docker_smoke_tests,,,0.099842019,0.080448674,0.213297907,0.021031029,4837,12928384344743257080,5145,611,FALSE
268,https://github.com/aeternity/aeternity,docker_system_smoke_tests,aeternity/aeternity,docker_system_smoke_tests,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.245988272,0.272566328,0.551419775,0.09963748,4381,11594272618536083168,4659,542,FALSE
287,https://github.com/alchemy-fr/Phraseanet,build_phraseanet-fpm,alchemy-fr/Phraseanet,build_phraseanet-fpm,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,docker build often makes divisions,amazon docker cache?,INTERESTING; Potential external machine cache,,,,,,,0.267962236,0.305092864,0.790699261,0.036925726,1831,2601052676025486746,1947,284,FALSE
30,https://github.com/alchemy-fr/Phraseanet,build_phraseanet-nginx,alchemy-fr/Phraseanet,build_phraseanet-nginx,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,docker build diff?,https://github.com/alchemy-fr/Phraseanet,build_phraseanet-nginx,alchemy-fr/Phraseanet,build_phraseanet-nginx,,,0.082261193,0.195741477,0.646275558,0.041605718,1834,15328543163668492519,1950,282,FALSE
